attack,epsilon,mean_diff,ci_low,ci_high
FGSM,0.00,0.002200,0.000460,0.003940
FGSM,0.05,0.031900,-0.024420,0.064500
FGSM,0.10,0.009320,-0.040840,0.043920
FGSM,0.15,-0.022840,-0.038140,-0.011720
FGSM,0.20,-0.029400,-0.040800,-0.018620
FGSM,0.30,-0.021440,-0.029900,-0.016340
PGD,0.00,0.002200,0.000460,0.003940
PGD,0.05,0.025840,-0.039780,0.081760
PGD,0.10,-0.018260,-0.037940,-0.001860
PGD,0.15,-0.006680,-0.010880,-0.002360
PGD,0.20,0.000120,-0.000640,0.001080
PGD,0.30,0.000540,0.000000,0.001260
